_id,product_name,current_url,view_click,alloy,stone
102897,GLAMIRA Ring Leonna Ø6 mm,https://www.glamira.co.nz/glamira-ring-leonna-6-mm.html?itm_source=recommendation&itm_medium=sorting&fbclid=IwAR0Ga_xcbsKLW81o9-7yAgsajIoZgNuxZ73bSm2wUAMjjBTdZqJCTZC9dJg&product_id=102897,197,,
102850,GLAMIRA Sõrmus Keyaria Ø8 mm,https://www.glamira.ee/glamira-ring-keyaria-8-mm.html?itm_source=recommendation&itm_medium=sorting&fbclid=IwAR0YQghpaDFGxMzCzc2Ltw8iimZ59d7q79Aiz-m6WzHldKCyh9ycEy__hKk&product_id=102850,411,,
86703,Anello di fidanzamento Bridal Heart,https://www.glamira.it/glamira-anelli-bridal-heart-skug100795.html?fbclid=IwAR24PQ9PUvsBqtD-fMAde-pdTsCYE8y6Qkmn0YzBIEydiScvyP6SnZHaykQ&product_id=86703,7585,,
110371,link 404,https://www.glamira.com.tr/glamira-horoscope-pendant-capricorn-sku-110371.html?product_id=110371,270,,
102179,Anillo de mujer Silver & Diamonds Touch,https://www.glamira.cl/anillo-de-mujer-silver-&-diamonds-touch.html?gclid=EAIaIQobChMIwpSHx4Ob6QIVwgqRCh2nxQfYEAQYBSABEgIJcPD_BwE&product_id=102179,1,,
91236,Glamira Broche Margrit,https://www.glamira.com.mx/glamira-broche-margrit.html?itm_source=recommendation&itm_medium=smartsearch&fbclid=IwAR3EODaBAXvoUrEZaFze9-l3jxQpyAf4qOmcnPQV1fDLMmP9I4knq4G8GIE&product_id=91236,174,,
91086,Engagement Ring Clariss 0.16 crt,https://www.glamira.co.nz/glamira-ring-clariss-0.16-crt.html?stone3=diamond-Swarovsky&fbclid=IwAR3esrTMX86kuZu82UbSG9nDo21BjONzH_gmaPVaEDZiU4ZfNgbHzmkV_gE&product_id=91086,2237,,
104240,Kvinnens ørering Anbessa,https://www.glamira.no/glamira-orering-anbessa.html?product_id=104240,196,,
91838,GLAMIRA Anillo Jolisa Ø10 mm,https://www.glamira.es/glamira-anillo-jolisa-o10-mm.html?product_id=91838,45,,
110598,Naise kaelakee Edyth,https://www.glamira.ee/glamira-pendant-edyth.html?itm_source=recommendation&itm_medium=sorting&fbclid=IwAR2xWRhF3OVH7udV_nom_AQvL4DRy6M26Gnqpk0x-FF--DxiGYpLG8WLYVU&product_id=110598,903,,
92342,GLAMIRA Ring Kelsey,https://www.glamira.de/glamira-ring-kelsey.html?fbclid=IwAR0dj6Bwxfl3JYuRsZ9xBH1Bz7BTuS75nCat4r5Uqe9HN961hFcGl8wm-Pk&product_id=92342,747,,
96656,Zaručnički prsten Aletta,https://www.glamira.hr/glamira-ring-aletta.html?fbclid=IwAR0RNK5M4wz0HnLr8ChQ5VHZ6wG8BX83RyQv4aEM1h_KmGhdwbk22sm5gJ0&product_id=96656,737,,
